	MyZ80-kompatibel	512	1	32
ALPS	D311C	732	8	35
Conner	CFS210A	685	16	38
Conner	CP340	788	4	26
Conner	CP2121	928	8	32
Conner	CP3024	636	2	33
Conner	CP3114	832	8	33
Conner	CP3184	832	6	33
DeLOCK	54143 (SSD)	1015	16	63
DeLOCK	54110 (SSD)	984	16	32
Hitachi	DK226A-21	4188	16	63
Hitachi	DK226A-32	6282	16	63
Hitachi	DK227A-41	7944	16	63
Hitachi	DK227A-50	10380	15	63
Hitachi	DK237A-21	4200	16	63
Hitachi	DK237A-32	6304	16	63
PQI	DJ0256M88RIO	503	16	63
Seagate	ST157A	560	6	26
Seagate	ST251	820	6	17
Seagate	ST251N	820	4	26
Seagate	ST252	820	6	17
Seagate	ST253	989	5	17
Seagate	ST274A	948	5	17
Seagate	ST290A	1023	8	17
Seagate	ST3243A	1024	12	34
Seagate	ST351A	904	2	17
Seagate	ST9100A	748	14	16
Seagate	ST9385AG	934	14	51
Seagate	ST9546A	1024	16	63
Seagate	ST9655AG	1016	16	63
Toshiba	MK1824FCV	682	16	63
Toshiba	MK1924FCU	1053	16	63
Western Digital	WDAC2120	872	8	35
Western Digital	WD93044A	782	4	27

